0.456a5=g+0.456a4=u-0.453a5=p-0.453a4=y-0.182a10...,0.465a4=l+0.465a5=gg+0.358a7=o+0.333a15-0.282a13=g...,'0.322a7=v-0.274a3-0.257a11-0.252a8+0.24 a10...','-0.524a7=ff-0.506a6=ff-0.248a9+0.213a7=v+0.2  a8...',0.374a13=s+0.337a7=bb-0.337a13=g+0.288a2-0.283a7=v...,0.448a7=j+0.431a6=j-0.313a7=v+0.283a6=i+0.262a7=h...,-0.443a7=j-0.439a6=j-0.38a6=e-0.321a7=z-0.221a7=dd...,-0.364a6=e+0.345a13=s-0.332a7=dd-0.32a13=g-0.255a6=i...,-0.653a7=n-0.653a6=r+0.209a6=i+0.187a7=bb-0.111a13=s...,0.481a7=h-0.35a7=bb+0.267a7=dd-0.259a6=i+0.237a6=q...,0.682a6=c+0.383a13=p-0.292a12-0.269a6=w-0.203a6=m...,'0.482a6=q+0.408a1+0.34 a6=aa-0.303a6=w-0.268a14...',0.378a6=d-0.346a7=dd+0.338a10+0.298a6=k-0.283a6=m...,-0.617a6=x+0.403a6=cc-0.374a6=aa+0.326a6=k-0.214a14...,-0.623a6=cc-0.476a6=aa+0.391a6=w+0.343a6=q+0.182a6=k...,-0.706a6=k+0.536a6=d+0.328a6=w-0.184a6=m-0.112a2...,0.528a6=w-0.452a12-0.344a6=d-0.262a6=m-0.238a14...,0.404a7=dd-0.376a7=z+0.354a6=d+0.289a6=k-0.234a14...,0.488a12-0.443a6=m+0.264a6=c+0.255a7=dd+0.254a6=aa...,-0.492a6=m+0.363a14-0.258a7=h+0.256a6=d+0.243a11...,-0.54a13=p+0.336a7=z-0.306a2-0.285a7=dd+0.248a6=c...,0.382a6=x+0.334a6=cc-0.32a14-0.311a6=aa+0.291a12...,-0.413a6=q+0.411a1+0.353a12-0.274a8+0.225a6=m...,'0.39 a13=p-0.381a1-0.365a15+0.26 a9-0.253a2...','-0.486a3+0.365a1-0.277a12+0.26 a8-0.252a15...','0.58 a3+0.499a14+0.318a9+0.313a1-0.177a12...','0.497a7=o-0.398a7=bb+0.33 a9+0.293a6=i+0.269a11...',0.475a8+0.419a15-0.37a7=n-0.339a2+0.302a6=r...,-0.5a9+0.483a6=i-0.409a7=bb+0.191a6=r-0.18a8...,result
1.722039,-0.651113,-1.533661,0.291148,-1.041567,1.078751,0.619715,0.703169,0.234317,1.900294,0.566578,-0.155989,-0.969741,1.788204,-2.818632,0.1156,1.53905,-0.13751,-0.68702,0.193567,0.000843,0.566495,1.607964,-0.479411,-0.322837,0.615646,-0.645244,-0.457276,-0.082493,approved
1.896537,-0.644374,-0.681732,1.168362,-0.994543,-1.000329,-0.447773,0.687165,0.026092,-1.511552,1.787227,-0.447483,-0.881229,0.175158,-0.379012,0.077759,0.105417,1.364665,0.031658,0.532824,0.745806,-0.817073,-0.15782,0.374318,-0.64542,0.894456,0.544374,-0.073641,0.442133,approved
0.409301,1.819806,3.137179,0.475147,1.697565,-0.574943,-0.755934,1.850883,-0.657728,0.4611,1.735413,0.178514,-0.765724,-0.306075,-0.354068,0.251465,0.865094,0.146728,0.936402,0.521305,0.870434,-0.857162,-0.718063,-1.088896,-0.755445,-0.482111,0.304594,-0.149029,0.884515,approved
2.018388,-0.644028,-1.059161,0.791581,-0.385936,-0.703336,-0.585343,0.89972,-0.040502,-1.504809,1.216418,0.366723,0.332438,0.033304,0.163203,0.094877,-1.120333,-0.042068,1.504407,-0.2918,0.308279,0.981194,0.549967,-1.149358,0.83256,0.300617,0.448901,0.187622,0.123957,approved
1.847813,-0.910224,-1.88786,0.258695,-0.409466,1.145804,0.666894,0.677056,0.269753,2.307989,0.590349,0.019472,0.918596,-2.911608,0.090491,0.053943,1.507962,1.432488,-0.658701,0.307986,1.156058,1.195902,0.570243,-0.295838,0.320768,0.683828,-0.614169,-0.172966,-0.182085,approved
1.909242,-0.568609,-0.319503,0.226755,-1.405661,-0.004928,-0.195428,0.540272,0.035817,0.266811,-0.598102,1.981459,-0.691449,0.341945,1.32956,0.104607,-1.159532,-0.727161,0.353838,0.57661,-0.170096,0.972015,-0.315617,-0.320813,-0.311703,-0.362341,-0.159524,-0.783445,0.234568,approved
1.291525,-0.534921,-0.33456,-0.069586,-1.008505,1.011897,0.458025,0.133431,0.049866,1.272599,2.448557,0.052177,-0.645596,0.00943,-0.16687,0.16713,0.262723,0.115699,0.427085,-0.578477,0.813586,-1.308809,1.442952,-0.563343,0.976525,-0.232066,-0.327451,0.097657,0.525923,approved
2.248207,-0.623912,-2.01129,-0.063164,2.279512,1.86256,1.059905,-0.7476,1.376826,-2.940467,-0.274653,1.898863,-0.542422,0.325653,0.259968,0.049994,0.367897,0.86605,0.57923,0.423211,-0.024201,1.29632,1.058111,-0.000963,0.440754,0.500776,-0.384689,-0.245065,0.168157,approved
2.902526,-1.089759,-3.187115,1.423313,3.015369,0.026484,0.291446,1.133121,0.264404,-2.841641,-0.5989,0.730409,2.401404,1.2838,-0.539267,2.848537,-1.783248,2.886142,-0.117459,0.891966,-1.249374,-0.324554,-0.446217,0.612354,0.860442,0.797348,-0.805128,-0.09114,-1.852823,approved
2.147913,-1.102861,-2.8325,0.418429,2.313019,-0.790536,-1.735914,-1.160494,-0.103141,1.638792,0.575439,-0.455501,0.385181,0.062879,-0.08055,-0.128234,0.526479,-0.215546,-0.355408,-0.90154,-0.688807,-0.779837,-0.345534,-0.076717,0.705718,-0.459248,0.36484,-0.11089,0.519296,approved
1.636504,0.206668,-0.194543,1.599777,-0.606875,-0.577689,0.256987,0.360546,0.198782,-1.098775,-1.95279,-2.239258,-0.609773,-0.150522,1.55202,0.701898,0.431911,-1.025482,0.903616,0.748677,-1.166886,-0.967804,-0.031966,-0.678137,0.103731,-0.0223,0.229646,0.561769,0.04409,approved
1.7175,-0.597965,-0.410046,1.079562,-0.912361,-1.035676,-0.457979,0.095394,0.186355,-1.278533,-1.304952,1.191928,0.821628,-1.434548,-1.705764,-0.143409,0.086474,0.488566,1.442941,-0.542924,-0.566126,-0.573049,0.101764,1.362181,-1.192952,0.252912,0.171558,0.003141,0.153426,approved
2.208031,-1.249856,-2.529662,0.968723,0.570104,0.585686,0.774483,1.25111,0.049735,1.402537,0.746536,-0.875556,1.240684,-2.394638,-0.076972,-0.074525,1.423991,1.530945,-0.92293,-0.129564,0.500059,1.001366,-0.602271,0.550985,0.817002,-0.534367,0.585266,0.279963,-0.565263,approved
2.363197,-0.457777,-2.292973,0.734933,2.743909,1.58025,1.338449,-0.555733,1.206416,-3.511221,-0.241846,0.810001,-0.722745,0.64243,0.134974,-0.118476,0.220845,1.064803,0.155644,0.353246,-0.51897,0.531683,0.161609,0.667048,0.230558,-0.678178,0.388184,0.575179,-0.168461,approved
1.378035,-0.092455,-0.764547,0.217753,0.895524,-1.085203,-2.429513,-1.975779,-0.019281,0.858072,-0.648153,0.504583,0.093721,-0.084973,0.156292,0.015188,-0.78038,-0.586622,0.820958,-0.089534,0.073298,1.076353,0.553845,-1.444,0.269314,-0.601846,-0.512327,0.772939,0.228233,approved
1.926358,-0.599104,-0.439201,0.337536,-1.891107,-0.086171,-0.358538,0.450221,-0.082515,0.249561,-0.373309,2.453934,-0.784217,0.590001,1.237527,0.381084,-0.620227,0.101542,0.278392,0.269476,0.42836,1.128848,0.199801,0.190992,-1.030111,-0.255556,-0.568801,-0.271439,-0.014795,approved
1.552003,-0.469195,0.372838,1.360963,-0.998327,-0.560584,0.232337,0.44809,0.181329,-0.953121,-1.716393,-2.001184,-1.09307,0.22256,1.340573,0.923547,0.835733,-0.41021,1.012115,0.894135,-0.45767,-0.78192,0.574111,0.551979,0.100853,-0.013539,0.322231,-0.220545,0.21661,approved
1.69924,-0.474652,-1.190835,1.504441,-0.150635,1.434542,1.560154,0.933251,0.225689,1.674877,-0.536115,-2.232838,-1.451232,1.560857,-2.660544,-0.154317,-0.246865,-1.017095,0.144985,1.018975,-0.704182,-0.374711,0.837533,0.534969,-1.056503,0.30541,0.422422,-0.483857,0.067397,approved
1.684402,-0.710116,-1.43748,0.612236,-0.512668,1.65969,1.107793,0.576056,0.257819,2.466435,-0.154837,-0.509631,0.510767,-3.031264,0.358213,0.025895,0.354885,1.070485,0.288311,0.777709,1.208929,1.227808,1.402421,0.031328,-0.399684,0.416539,-0.592919,-0.362506,-0.127027,approved
-3.044303,-1.009357,-0.679622,1.699813,-1.039971,-0.377097,0.319049,0.652464,0.40693,0.17739,-0.289702,-0.971902,-1.633691,1.542668,-2.569985,-0.158079,0.641947,-0.725525,-1.187,1.20046,-0.386973,0.826356,-0.449566,-0.69916,-0.420709,-0.657062,-0.256159,-0.585883,0.409315,approved
1.867423,-0.52813,-4.110662,-2.754635,1.41787,-1.941734,0.932946,2.343353,-0.509118,-1.523832,-0.655166,-0.778683,0.364753,0.108127,-0.02936,0.242282,-0.911713,0.210531,1.359515,-0.44332,-0.800425,0.440285,-0.814256,0.748024,-0.022835,-0.286866,0.925575,1.158653,-0.089696,approved
1.901119,-0.723336,-0.724935,1.23979,-0.517569,-0.926879,-0.369456,0.762375,-0.183005,-1.753522,1.333777,-0.408801,-0.089643,0.35117,-0.038458,0.156922,-0.740319,0.880052,1.024121,-0.327009,0.652171,0.335172,0.314186,0.313304,-0.513739,-0.265916,0.576731,-0.023999,0.230573,approved
2.071419,-0.866106,-2.111976,0.905804,-0.016146,0.038115,0.145524,0.750121,-0.18335,-0.059215,2.562641,-0.200659,0.379656,0.263812,-0.309448,0.319667,0.805613,1.192738,0.077701,-1.289853,0.481479,-1.131544,0.37974,0.443454,-0.611885,0.782252,0.159591,0.10066,0.240329,approved
1.320902,-0.554895,-0.226899,0.339292,-0.486404,0.462025,0.754303,0.055977,0.139466,1.01898,-0.371146,-1.759803,-0.257564,0.180962,1.20019,0.975544,2.387358,-0.573862,-0.041135,-0.704673,-0.631211,-1.807142,0.650496,0.185761,0.712502,-0.451573,-0.371704,-0.559981,0.475538,approved
2.061137,-0.780493,-0.992256,1.404387,-0.257585,-1.286,-0.385339,0.764798,-0.049482,-1.660846,-1.472702,-1.025075,0.662351,0.37219,1.409186,1.26093,1.484081,-0.010179,1.108074,-0.723359,-0.443529,0.611389,0.066195,0.283769,-0.14706,0.598514,-0.003004,0.153284,-0.132036,approved
-0.024827,-3.037845,-6.494122,4.316205,1.585023,-2.69426,-1.346685,3.730769,-0.194312,-4.217857,2.137333,1.007574,0.737376,0.925995,-0.554295,0.717911,0.305712,1.894862,0.79155,-0.063608,-0.635679,0.637033,-1.936629,1.212819,0.820333,3.979473,2.929001,2.251853,-1.383197,approved
2.033429,-0.973187,-1.841519,0.82075,0.550451,0.297062,0.447936,0.938327,-0.209864,-0.303037,1.95942,-0.786499,0.517832,0.320255,0.048638,-0.000719,-0.57177,0.213907,0.987237,-1.12302,-0.16247,-0.534883,0.911705,0.22476,0.052307,-0.639023,0.814618,-0.945257,0.372575,approved
-1.766749,-1.940518,-3.104995,1.932277,-0.657759,1.22751,0.848086,1.778084,0.191217,1.260858,0.090278,1.697621,-2.042756,0.6045,1.268062,0.122729,-1.178409,-0.738254,0.335535,1.711821,-1.136209,-1.031988,0.785437,0.843298,0.092755,0.402272,1.104176,-0.875551,-0.161954,approved
1.6883,-0.544826,-1.417808,0.935104,0.075032,0.909054,1.088488,0.791071,0.1848,1.696689,0.193288,-1.56669,-0.497478,1.579577,-2.831549,-0.057473,0.964974,-0.928699,-0.771243,-0.117978,-0.67542,-0.053029,-0.261966,-0.164158,-0.233484,0.246128,0.00677,-0.068522,0.069445,approved
0.744898,0.39541,0.565945,-1.059783,2.600013,2.058268,1.601917,-2.238035,1.450855,-1.975424,0.039676,0.390221,-0.214557,0.278236,-0.080283,-0.178887,0.65143,-0.112456,-0.917562,0.033496,-0.059996,0.104507,-1.012327,0.223541,0.873578,0.029554,0.10728,0.283587,-0.215985,approved
0.332767,0.336958,1.892158,-0.447484,-0.895316,-0.483045,-0.171455,-0.908884,-0.009749,-0.395858,1.780827,-0.74396,0.201521,0.197156,-0.256232,0.038415,-0.222261,-0.030478,-0.237943,-0.629526,1.022653,-0.195813,-0.538955,-0.290348,0.178852,-0.227425,0.357829,0.225355,-0.14279,approved
0.879958,-0.027777,0.369639,0.141311,-0.239137,1.654833,0.961684,-0.201592,0.151642,1.593375,1.371427,-0.664099,0.040654,-0.516886,0.039042,0.125058,-1.248194,-1.182753,1.589634,-0.396804,0.349009,-1.005676,1.187906,-0.991911,0.174092,0.638538,-0.327085,-0.436867,0.801514,approved
1.135632,-0.052427,1.066205,0.483605,-0.982355,0.217071,0.322448,-0.159112,-0.074964,0.681267,-0.768921,0.880289,-0.291903,0.377554,1.068864,0.206779,-1.262617,-1.081866,0.131747,-0.078443,-0.113511,0.423071,-1.653198,0.257437,-1.03268,-1.106516,-0.232673,-0.120462,0.317924,approved
0.879957,0.438523,1.119228,0.725226,-0.670029,-0.362454,0.202344,-0.456289,0.197263,-0.546925,-1.863656,-1.933489,0.182797,-0.168183,1.457146,0.847874,0.777087,-1.203216,0.821733,-0.0357,-0.779457,-0.32358,-0.017377,-0.949463,-0.387313,-0.290013,-0.549114,-0.365363,0.453226,approved
0.876083,0.013403,1.271575,0.487854,-0.670274,-0.496067,0.071322,-0.375141,0.123767,-0.587976,-1.65285,-1.624338,0.364066,0.104767,1.38219,0.994986,1.08196,-0.956824,0.891506,-0.432068,-0.465782,0.157713,0.155629,-0.482261,-0.107097,-0.597031,-0.526637,-0.700069,0.470482,approved
1.342095,-0.359754,-1.049368,0.766412,0.578008,1.06462,1.046402,0.496877,-0.09617,1.560119,-0.091252,-1.189274,0.868113,1.968235,-2.683525,0.190952,0.419269,-1.295698,0.162514,-1.524252,-0.641704,1.5133,0.192692,-0.384266,-0.41998,-0.992361,-0.225741,0.178974,-0.34379,approved
-3.253445,-0.931692,-0.218752,1.676298,-0.716628,-0.875116,-0.172979,-0.044719,0.147177,-0.887711,-1.474384,-0.619154,0.422137,0.107994,1.549708,1.425823,1.620462,-0.35561,0.771556,-0.631849,-0.184595,0.562593,0.352131,-0.184033,-1.102206,0.306009,-1.050271,-0.564408,0.395942,approved
0.776845,0.084353,0.963235,0.163153,-1.069661,-0.182026,0.131734,-0.177872,0.163276,0.499805,-0.095409,-0.950209,-0.424651,1.877654,-2.930276,-0.087328,1.039691,-0.597731,-1.137248,-0.093348,0.004164,1.540425,-0.516333,-0.954225,-0.438874,-1.363138,-0.640917,-0.312026,0.181129,approved
1.171511,-0.145949,-0.292474,0.192596,1.875351,2.131171,1.759458,-0.825362,0.721702,0.308045,-0.369297,-0.30937,0.746579,0.042727,0.183733,-0.101207,-0.145215,-1.000978,0.18321,-0.89223,-0.650353,0.163154,0.181128,0.326322,0.242938,-0.379677,1.266156,0.378281,2.337624,approved
0.624364,1.64671,1.436653,0.900752,3.426015,1.54085,1.068823,2.324182,-0.506029,3.440274,-0.400867,-1.292254,0.761436,-3.180197,0.174802,0.116499,0.563205,-0.08929,0.949302,1.332375,0.709329,0.418177,-0.610652,0.333792,-0.723846,0.841161,1.385678,0.48326,-1.010084,approved
2.320406,-1.141722,-1.932063,0.63335,-0.108562,0.584582,0.596224,1.115684,-0.161942,1.253707,0.790751,1.095944,-0.400214,0.876965,0.810566,0.131738,0.178542,-0.378714,-0.788901,-0.500528,-0.880827,-0.967345,-1.296628,0.993061,0.449748,-0.841627,0.8377,-0.076489,-0.157458,approved
1.794905,-0.299084,-0.192995,0.936585,0.687329,-1.144439,-0.430933,1.466871,-0.22132,-1.362977,-1.601508,-0.499529,-0.721582,-0.859699,0.286334,-1.037323,-1.777458,0.231435,-1.586029,-2.085615,-0.43873,0.664823,0.72225,0.07738,-0.091417,0.885612,-0.601482,-1.415527,0.784405,approved
1.777568,-0.4319,-0.42962,0.838085,-0.230892,-1.00327,-0.434031,0.578063,-0.019405,-0.632318,-0.564463,0.139809,1.717199,0.705398,-0.632604,2.609854,-1.09806,2.832,-1.684687,1.651005,-0.424453,-1.092985,-0.154686,0.257877,-0.282413,1.177531,-0.473794,-0.521175,0.938362,approved
-2.613012,-1.343867,-0.847213,1.299821,-1.715554,0.03069,-0.065657,0.717824,0.070188,0.4005,-0.399532,2.466222,-1.4194,0.527055,1.470161,0.338747,-1.073695,-0.72857,0.238664,0.723198,-0.016158,0.866718,-0.033631,-0.117942,-0.007505,-1.162129,-0.290293,-0.022518,0.03043,approved
1.588103,-0.503007,0.30852,-0.158549,-2.079929,-0.051332,-0.310244,0.230605,0.037995,0.746722,0.1837,2.271174,-1.230641,0.591407,0.984866,0.183917,-0.053913,-0.304077,-0.636382,0.408034,0.280049,0.350449,-0.662646,-0.300793,0.530312,-1.063755,-0.414136,0.170783,0.097674,approved
1.454921,-0.278475,-0.124653,1.14162,-0.769338,-0.196644,0.343149,0.532961,0.069363,0.000452,-0.849436,-1.246059,-0.620729,1.756623,-2.533203,-0.005916,-0.036494,-0.627566,0.021437,0.203352,-0.032018,1.80532,0.038372,-0.263324,-0.955684,-0.829196,-0.261293,0.021515,-0.02352,approved
1.452019,3.1476,-1.745597,2.447346,-1.629953,0.31091,0.644983,-0.406378,0.203741,-0.229791,-1.503617,-2.284884,-1.516575,0.622908,-1.929113,-0.92053,-1.072541,-0.980111,-1.182118,1.650735,-1.830296,-0.73538,0.133908,-4.017418,-3.435958,-1.075616,-1.213001,3.355319,-0.914968,approved
1.685101,-0.624877,-0.235139,0.230352,-1.282144,-0.645753,-0.61349,0.618379,0.114981,-1.085753,1.956975,0.31624,-0.913409,0.229378,-0.195865,-0.107973,-0.189154,0.468257,0.317084,0.527586,0.537751,-0.114994,0.67003,-1.011072,1.455357,-0.328558,0.501824,-0.15282,0.346076,approved
1.221185,0.929743,0.566682,0.975961,-0.665428,-0.731666,-0.215578,0.698218,-0.145216,-0.592444,-1.046592,-0.786392,-2.225578,-0.912458,0.065897,-1.254737,-1.119255,0.51832,-2.946625,-1.401135,-0.327426,-1.208636,0.661706,-0.792431,0.115775,-0.310329,-1.135452,0.85475,0.373896,approved
1.593725,-0.601548,-0.919156,0.634943,-0.778455,0.227745,0.493317,0.221981,0.012719,0.649782,-0.112171,-1.275061,-0.291694,0.492198,1.105709,1.170761,2.878429,0.323702,-0.162529,-0.878614,-0.347118,-1.651512,1.118385,0.565307,0.083959,-0.225689,-0.473171,0.013402,0.050181,approved
1.955237,-0.728937,-2.103502,1.265168,0.461041,1.123131,1.175514,0.640214,0.223509,1.913404,-0.501699,-1.311703,1.462247,-3.42559,0.351896,0.076019,0.451345,1.315701,0.055115,0.355414,0.947929,0.982546,-0.083035,0.682597,-2.309673,1.95062,-0.619531,-1.048208,0.311897,approved
0.925817,1.665886,0.95368,0.470572,5.498166,0.261341,-1.634502,-0.642615,-0.095337,0.989976,-0.554268,0.450033,-1.469983,-0.498581,-0.049711,0.254783,0.400215,0.005727,1.6949,1.244789,0.235891,-0.930007,-0.386092,-0.538339,-1.660272,-0.444048,-1.523311,-0.69575,-0.874603,rejected
1.378655,-0.059819,-0.310015,0.592492,2.622599,1.066179,0.962366,-0.336614,0.367693,-1.179767,-0.933127,0.097626,2.421436,0.858506,-0.534166,2.824609,-2.29194,1.434216,-0.061071,0.470649,-0.91878,-0.720283,-0.916865,-0.28903,1.220508,-0.613752,-1.79756,0.423049,-1.377167,rejected
